#{"t_start": 1781613994.2522376, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-38.623511,72,0.981181
-141.65346,78,0.99905
-280.968711,93,1.021804
-499.802987,155,1.056741
-46.691345,80,1.075714
-118.200231,90,1.315531
-88.578233,88,1.335909
-388.083894,81,1.356547
-48.235783,79,1.374739
-322.933264,84,1.393472
-53.5805,81,1.412247
-120.890061,77,1.652704
-7.882013,88,1.673867
-311.149247,128,1.702128
-147.208265,123,1.731443
-111.144215,124,1.970158
-356.293249,107,1.994147
-269.928472,84,2.013033
-126.358889,105,2.03749
-182.891342,86,2.056999
-16.097631,72,2.073555
